spp,t_c,block,sample,date,pre_post,time,F700_Lvl,F735_Lvl,CFR,concentration
SF,T,B,6,8/31/16,pre,9:42:36,374,372,1,244
SF,T,B,6,8/31/16,post,13:51:28,570,603,1.06,282
SF,T,B,6,9/2/16,pre,8:33:17,551,560,1.02,257
SF,T,B,6,9/2/16,post,10:31:11,150,160,1.07,288
SF,T,A,7,8/24/16,pre,13:45:09,254,237,0.93,198
SF,T,A,7,8/24/16,post,15:11:07,371,375,1.01,249
SF,T,A,7,8/26/16,pre,8:58:41,366,390,1.07,287
SF,T,A,7,8/26/16,post,14:03:57,318,367,1.16,345
SF,T,A,7,8/29/16,pre,10:48:45,323,369,1.15,339
SF,T,A,7,8/29/16,post,12:24:12,448,511,1.14,333
SF,T,A,7,8/31/16,pre,9:50:13,250,268,1.07,288
SF,T,A,7,8/31/16,post,13:56:58,323,359,1.11,314
SF,T,A,7,9/2/16,pre,8:43:09,200,221,1.11,314
SF,T,A,7,9/2/16,post,11:32:52,516,568,1.1,307
SF,T,B,7,8/24/16,pre,10:41:29,208,172,0.83,135
SF,T,B,7,8/24/16,post,14:32:26,177,147,0.83,135
SF,T,B,7,8/26/16,pre,9:12:54,242,229,0.95,211
SF,T,B,7,8/26/16,post,13:57:03,456,433,0.95,212
SF,T,B,7,8/29/16,pre,10:12:50,415,399,0.96,218
SF,T,B,7,8/29/16,post,11:37:51,393,354,0.9,180
SF,T,B,7,8/31/16,pre,9:42:52,301,307,1.02,257
SF,T,B,7,8/31/16,post,13:51:38,559,526,0.94,206
SF,T,B,7,9/2/16,pre,8:33:30,422,397,0.94,206
SF,T,B,7,9/2/16,post,10:31:27,170,168,0.99,237
SF,T,A,8,8/24/16,pre,13:45:18,234,233,1,243
SF,T,A,8,8/24/16,post,15:11:19,436,440,1.01,249
SF,T,A,8,8/26/16,pre,8:58:56,356,375,1.06,281
SF,T,A,8,8/26/16,post,14:04:08,361,407,1.13,326
SF,T,A,8,8/29/16,pre,10:48:53,349,397,1.14,333
SF,T,A,8,8/29/16,post,12:24:24,427,487,1.14,333
SF,T,A,8,8/31/16,pre,9:50:31,278,313,1.13,326
SF,T,A,8,8/31/16,post,13:57:08,363,384,1.06,282
SF,T,A,8,9/2/16,pre,8:43:19,175,207,1.18,358
SF,T,A,8,9/2/16,post,11:33:02,560,653,1.17,352
SF,T,B,8,8/24/16,pre,10:41:44,215,198,0.92,192
